[2025-06-24T17:04:38.685Z] Starting Udemy Advanced Course Finder fetch...
[2025-06-24T17:04:38.689Z] Fetching free South African courses...
[2025-06-24T17:05:19.676Z] Stored new course: Master of Science in Computer Science (21174)
[2025-06-24T17:05:20.079Z] Course 20932 already exists, skipping.
[2025-06-24T17:05:20.081Z] Course 20933 already exists, skipping.
[2025-06-24T17:05:20.082Z] Course 20934 already exists, skipping.
[2025-06-24T17:05:20.085Z] Course 20931 already exists, skipping.
[2025-06-24T17:05:20.087Z] Course 20916 already exists, skipping.
[2025-06-24T17:05:20.089Z] Course 20929 already exists, skipping.
[2025-06-24T17:05:20.090Z] Course 20913 already exists, skipping.
[2025-06-24T17:05:20.092Z] Course 20926 already exists, skipping.
[2025-06-24T17:05:20.093Z] Course 20910 already exists, skipping.
[2025-06-24T17:05:20.095Z] Course 20923 already exists, skipping.
[2025-06-24T17:05:20.096Z] Course 20920 already exists, skipping.
[2025-06-24T17:05:20.098Z] Course 20917 already exists, skipping.
[2025-06-24T17:05:20.099Z] Course 20914 already exists, skipping.
[2025-06-24T17:05:20.100Z] Course 20930 already exists, skipping.
[2025-06-24T17:05:20.104Z] Course 20927 already exists, skipping.
[2025-06-24T17:05:20.106Z] Course 20911 already exists, skipping.
[2025-06-24T17:05:20.107Z] Course 20924 already exists, skipping.
[2025-06-24T17:05:20.108Z] Course 20921 already exists, skipping.
[2025-06-24T17:05:20.109Z] Course 20918 already exists, skipping.
[2025-06-24T17:05:20.111Z] Course 20915 already exists, skipping.
[2025-06-24T17:05:20.113Z] Course 20928 already exists, skipping.
[2025-06-24T17:05:20.114Z] Course 20912 already exists, skipping.
[2025-06-24T17:05:20.115Z] Course 20925 already exists, skipping.
[2025-06-24T17:05:20.117Z] Course 20922 already exists, skipping.
[2025-06-24T17:05:20.119Z] Course 20919 already exists, skipping.
[2025-06-24T17:05:20.120Z] Course 20900 already exists, skipping.
[2025-06-24T17:05:20.122Z] Course 20897 already exists, skipping.
[2025-06-24T17:05:20.123Z] Course 20894 already exists, skipping.
[2025-06-24T17:05:20.124Z] Course 20907 already exists, skipping.
[2025-06-24T17:05:20.125Z] Course 20891 already exists, skipping.
[2025-06-24T17:05:20.126Z] Course 20904 already exists, skipping.
[2025-06-24T17:05:20.128Z] Course 20888 already exists, skipping.
[2025-06-24T17:05:20.130Z] Course 20901 already exists, skipping.
[2025-06-24T17:05:20.131Z] Course 20898 already exists, skipping.
[2025-06-24T17:05:20.133Z] Course 20895 already exists, skipping.
[2025-06-24T17:05:20.135Z] Course 20908 already exists, skipping.
[2025-06-24T17:05:20.137Z] Course 20892 already exists, skipping.
[2025-06-24T17:05:20.138Z] Course 20905 already exists, skipping.
[2025-06-24T17:05:20.140Z] Course 20889 already exists, skipping.
[2025-06-24T17:05:20.141Z] Course 20902 already exists, skipping.
[2025-06-24T17:05:20.143Z] Course 20899 already exists, skipping.
[2025-06-24T17:05:20.146Z] Course 20896 already exists, skipping.
[2025-06-24T17:05:20.147Z] Course 20909 already exists, skipping.
[2025-06-24T17:05:20.149Z] Course 20893 already exists, skipping.
[2025-06-24T17:05:20.150Z] Course 20906 already exists, skipping.
[2025-06-24T17:05:20.153Z] Course 20890 already exists, skipping.
[2025-06-24T17:05:20.154Z] Course 20887 already exists, skipping.
[2025-06-24T17:05:20.156Z] Course 20903 already exists, skipping.
[2025-06-24T17:05:20.157Z] Course 20884 already exists, skipping.
[2025-06-24T17:05:20.159Z] Course 20868 already exists, skipping.
[2025-06-24T17:05:20.161Z] Course 20865 already exists, skipping.
[2025-06-24T17:05:20.164Z] Course 20881 already exists, skipping.
[2025-06-24T17:05:20.165Z] Course 20878 already exists, skipping.
[2025-06-24T17:05:20.167Z] Course 20875 already exists, skipping.
[2025-06-24T17:05:20.170Z] Course 20872 already exists, skipping.
[2025-06-24T17:05:20.172Z] Course 20885 already exists, skipping.
[2025-06-24T17:05:20.174Z] Course 20869 already exists, skipping.
[2025-06-24T17:05:20.175Z] Course 20866 already exists, skipping.
[2025-06-24T17:05:20.179Z] Course 20882 already exists, skipping.
[2025-06-24T17:05:20.180Z] Course 20879 already exists, skipping.
[2025-06-24T17:05:20.181Z] Course 20876 already exists, skipping.
[2025-06-24T17:05:20.182Z] Course 20873 already exists, skipping.
[2025-06-24T17:05:20.183Z] Course 20886 already exists, skipping.
[2025-06-24T17:05:20.186Z] Course 20870 already exists, skipping.
[2025-06-24T17:05:20.187Z] Course 20867 already exists, skipping.
[2025-06-24T17:05:20.188Z] Course 20883 already exists, skipping.
