[2025-07-07T17:18:06.410Z] Starting Udemy Advanced Course Finder fetch...
[2025-07-07T17:18:06.416Z] Fetching free South African courses...
[2025-07-07T17:18:34.177Z] Course 20924 already exists, skipping.
[2025-07-07T17:18:34.179Z] Course 20921 already exists, skipping.
[2025-07-07T17:18:34.180Z] Course 20918 already exists, skipping.
[2025-07-07T17:18:34.182Z] Course 20915 already exists, skipping.
[2025-07-07T17:18:34.184Z] Course 20928 already exists, skipping.
[2025-07-07T17:18:34.188Z] Course 20912 already exists, skipping.
[2025-07-07T17:18:34.191Z] Course 20925 already exists, skipping.
[2025-07-07T17:18:34.193Z] Course 20922 already exists, skipping.
[2025-07-07T17:18:34.194Z] Course 20919 already exists, skipping.
[2025-07-07T17:18:34.196Z] Course 20900 already exists, skipping.
[2025-07-07T17:18:34.197Z] Course 20897 already exists, skipping.
[2025-07-07T17:18:34.198Z] Course 20894 already exists, skipping.
[2025-07-07T17:18:34.200Z] Course 20907 already exists, skipping.
[2025-07-07T17:18:34.203Z] Course 20891 already exists, skipping.
[2025-07-07T17:18:34.205Z] Course 20904 already exists, skipping.
[2025-07-07T17:18:34.210Z] Course 20888 already exists, skipping.
[2025-07-07T17:18:34.212Z] Course 20901 already exists, skipping.
[2025-07-07T17:18:34.213Z] Course 20898 already exists, skipping.
[2025-07-07T17:18:34.215Z] Course 20895 already exists, skipping.
[2025-07-07T17:18:34.218Z] Course 20908 already exists, skipping.
[2025-07-07T17:18:34.219Z] Course 20892 already exists, skipping.
[2025-07-07T17:18:34.223Z] Course 20905 already exists, skipping.
[2025-07-07T17:18:34.226Z] Course 20889 already exists, skipping.
[2025-07-07T17:18:34.228Z] Course 20902 already exists, skipping.
[2025-07-07T17:18:34.229Z] Course 20899 already exists, skipping.
[2025-07-07T17:18:34.230Z] Course 20896 already exists, skipping.
[2025-07-07T17:18:34.232Z] Course 20909 already exists, skipping.
[2025-07-07T17:18:34.234Z] Course 20893 already exists, skipping.
[2025-07-07T17:18:34.235Z] Course 20906 already exists, skipping.
[2025-07-07T17:18:34.237Z] Course 20890 already exists, skipping.
[2025-07-07T17:18:34.239Z] Course 20887 already exists, skipping.
[2025-07-07T17:18:34.241Z] Course 20903 already exists, skipping.
[2025-07-07T17:18:34.242Z] Course 20884 already exists, skipping.
[2025-07-07T17:18:34.244Z] Course 20868 already exists, skipping.
[2025-07-07T17:18:34.245Z] Course 20865 already exists, skipping.
[2025-07-07T17:18:34.247Z] Course 20881 already exists, skipping.
[2025-07-07T17:18:34.249Z] Course 20878 already exists, skipping.
[2025-07-07T17:18:34.250Z] Course 20875 already exists, skipping.
[2025-07-07T17:18:34.256Z] Course 20872 already exists, skipping.
[2025-07-07T17:18:34.258Z] Course 20885 already exists, skipping.
[2025-07-07T17:18:34.260Z] Course 20869 already exists, skipping.
[2025-07-07T17:18:34.262Z] Course 20866 already exists, skipping.
[2025-07-07T17:18:34.264Z] Course 20882 already exists, skipping.
[2025-07-07T17:18:34.267Z] Course 20879 already exists, skipping.
[2025-07-07T17:18:34.270Z] Course 20876 already exists, skipping.
[2025-07-07T17:18:34.272Z] Course 20873 already exists, skipping.
[2025-07-07T17:18:34.274Z] Course 20886 already exists, skipping.
[2025-07-07T17:18:34.275Z] Course 20870 already exists, skipping.
[2025-07-07T17:18:34.276Z] Course 20867 already exists, skipping.
[2025-07-07T17:18:34.278Z] Course 20883 already exists, skipping.
[2025-07-07T17:18:34.279Z] Course 20864 already exists, skipping.
[2025-07-07T17:18:34.280Z] Course 20880 already exists, skipping.
[2025-07-07T17:18:34.283Z] Course 20877 already exists, skipping.
[2025-07-07T17:18:34.288Z] Course 20874 already exists, skipping.
[2025-07-07T17:18:34.292Z] Course 20871 already exists, skipping.
[2025-07-07T17:18:34.293Z] Course 20852 already exists, skipping.
[2025-07-07T17:18:34.296Z] Course 20849 already exists, skipping.
[2025-07-07T17:18:34.297Z] Course 20846 already exists, skipping.
